Invoice ID,Time,DayName,MonthName,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,Rating,gross income,prediction,Sales
750-67-8428,2023-12-20 13:08:00,Friday,January,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,Ewallet,9.1,26.1415,7,548.9714999999999
226-31-3081,2023-12-20 10:29:00,Thursday,March,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,Cash,9.6,3.82,5,80.21999999999998
631-41-3108,2023-12-20 13:23:00,Saturday,March,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,Credit card,7.4,16.2155,6,291.879
123-19-1176,2023-12-20 20:33:00,Saturday,January,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,Ewallet,8.4,23.288,7,427.917
373-73-7910,2023-12-20 10:37:00,Thursday,February,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,Ewallet,5.3,30.2085,7,634.3785
699-14-3026,2023-12-20 18:30:00,,March,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,Ewallet,4.1,29.8865,7,627.6165
355-53-5943,2023-12-20 14:36:00,,February,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,Ewallet,5.8,20.652,6,433.692
315-22-5665,2023-12-20 11:38:00,Saturday,February,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,Ewallet,8.0,36.78,10,772.38
665-32-9167,2023-12-20 17:15:00,Wednesday,January,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,Credit card,7.2,3.626,3,114.219
692-92-5582,2023-12-20 13:27:00,Tuesday,February,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,Credit card,5.9,8.226,3,172.746
351-62-0822,2023-12-20 18:07:00,Tuesday,February,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,Ewallet,4.5,2.896,5,76.02000000000001
529-56-3974,2023-12-20 17:03:00,Friday,March,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,Cash,6.8,5.102,4,107.14200000000001
365-64-0515,2023-12-20 10:25:00,Monday,February,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,Ewallet,7.1,11.7375,5,246.4875
252-56-2699,2023-12-20 16:48:00,Wednesday,February,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,Ewallet,8.2,21.595,8,362.796
829-34-3910,2023-12-20 19:21:00,Thursday,March,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,Cash,5.7,35.69,10,749.49
299-46-1805,2023-12-20 16:19:00,Monday,January,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,Cash,4.5,28.116,6,590.4359999999999
656-95-9349,2023-12-20 11:03:00,,March,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,Credit card,4.6,24.1255,7,506.63550000000004
765-26-6951,2023-12-20 10:39:00,Monday,January,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,Credit card,6.9,21.783,5,381.2025
329-62-1586,2023-12-20 18:00:00,,January,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,Credit card,8.6,8.2005,3,172.2105
319-50-3348,2023-12-20 15:30:00,,March,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,Ewallet,4.4,4.03,3,126.945
300-71-4605,2023-12-20 11:24:00,,February,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,Ewallet,4.8,21.51,4,361.36800000000005
371-85-5789,2023-12-20 10:40:00,Monday,March,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,Ewallet,5.1,13.197,2,184.758
273-16-6619,2023-12-20 12:20:00,Thursday,March,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,Credit card,4.4,3.32,3,104.58000000000001
636-48-8204,2023-12-20 11:15:00,Saturday,February,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,Ewallet,9.9,8.64,5,181.44
549-59-1358,2023-12-20 17:36:00,Friday,March,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,Ewallet,6.0,13.2945,2,186.123
227-03-5010,2023-12-20 19:20:00,Thursday,March,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,Credit card,8.5,21.036,7,386.5365
649-29-6775,2023-12-20 15:31:00,Thursday,February,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,Cash,6.7,1.676,3,105.58800000000001
189-17-4241,2023-12-20 12:17:00,Saturday,March,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,Credit card,7.7,8.767,0,0.0
145-94-9061,2023-12-20 19:48:00,Thursday,January,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,Cash,9.6,22.09,4,371.112
848-62-7243,2023-12-20 15:36:00,Thursday,March,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,Cash,7.4,11.2005,6,156.80700000000002
871-79-8483,2023-12-20 19:39:00,,February,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,Credit card,4.8,23.5325,4,395.346
149-71-6266,2023-12-20 12:43:00,,January,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,Cash,4.5,35.1315,9,737.7614999999998
640-49-2076,2023-12-20 14:49:00,Wednesday,January,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,Cash,5.1,33.512,8,703.752
595-11-5460,2023-12-20 10:12:00,Thursday,March,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,Credit card,5.1,9.658,0,0.0
183-56-6882,2023-12-20 10:42:00,Tuesday,February,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,Ewallet,7.5,19.884,3,313.173
232-16-2483,2023-12-20 12:28:00,,January,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,Ewallet,6.8,3.406,1,71.52600000000001
129-29-8530,2023-12-20 19:15:00,Saturday,March,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,Ewallet,7.0,15.655,5,328.75499999999994
272-65-1806,2023-12-20 17:17:00,Monday,January,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,Ewallet,4.7,27.396,8,511.39200000000005
333-73-7901,2023-12-20 13:24:00,Friday,March,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,Ewallet,7.6,21.968,7,403.662
777-82-7220,2023-12-20 13:01:00,Saturday,March,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,Cash,7.7,12.048,6,189.756
280-35-5823,2023-12-20 18:45:00,Wednesday,January,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,Ewallet,7.9,4.336,0,0.0
554-53-8700,2023-12-20 10:11:00,Friday,February,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,Cash,6.3,5.611,2,117.831
